사업장명,사업장도로명상세주소,법정동주소광역시도코드,법정동주소광역시시군구코드,법정동주소광역시시군구읍면동코드,사업장업종코드,사업장업종코드명,가입자수,당월고지금액,신규취득자수,상실가입자수
에임시스템(주),경기도 성남시 분당구 황새울로,41,135,102,722000,응용 소프트웨어 개발 및 공급업,191,76832960,1,3
공간정보기술(주),경기도 성남시 분당구 판교로228번길,41,135,109,722000,응용 소프트웨어 개발 및 공급업,53,15517020,0,0
주식회사 유엔진솔루션즈,서울특별시 서초구 사임당로,11,650,108,722000,응용 소프트웨어 개발 및 공급업,19,5453500,0,1
퓨렌스주식회사,서울특별시 금천구 디지털로,11,545,101,722000,응용 소프트웨어 개발 및 공급업,29,8522680,0,0
（주）타임게이트,서울특별시 성동구 아차산로,11,200,114,722000,응용 소프트웨어 개발 및 공급업,185,70637540,2,4
주식회사 제이케이테크지엠앤,서울특별시 강남구 도산대로16길,11,680,108,722000,응용 소프트웨어 개발 및 공급업,7,2205420,0,0
(주)이츠유컴퍼니,경기도 부천시 원미구 부천로198번길,41,192,103,722000,응용 소프트웨어 개발 및 공급업,6,1415040,0,0
주식회사레이월드,대구광역시 동구 매여로1길,27,140,121,722000,응용 소프트웨어 개발 및 공급업,18,4391740,0,0
(주)코맥스정보통신,경기도 가평군 가평읍 호반로,41,820,250,722000,응용 소프트웨어 개발 및 공급업,3,695320,0,0
(주)잘레시아,서울특별시 서초구 동작대로,11,650,101,722000,응용 소프트웨어 개발 및 공급업,144,56082280,2,1
주식회사아이엔씨,울산광역시 남구 대학로21번길,31,140,101,722000,응용 소프트웨어 개발 및 공급업,7,1736440,0,0
(주)비트러스트,서울특별시 종로구 종로,11,110,164,722000,응용 소프트웨어 개발 및 공급업,12,1753480,0,0
메타씨앤에스 주식회사,서울특별시 영등포구 여의대방로67길,11,560,110,722000,응용 소프트웨어 개발 및 공급업,7,926100,0,0
（주）유비산업리서치,서울특별시 서초구 논현로,11,650,102,724000,데이터베이스 및 온라인 정보 제공업,3,1049920,0,0
메티온(주),서울특별시 성동구 뚝섬로17가길,11,200,115,722000,응용 소프트웨어 개발 및 공급업,4,1264320,0,0
(주)비즈메이커,부산광역시 부산진구 중앙대로,26,230,104,722000,응용 소프트웨어 개발 및 공급업,3,618740,0,0
(주)미래특허정보컨설팅,서울특별시 송파구 송파대로,11,710,108,724000,데이터베이스 및 온라인 정보 제공업,4,624480,0,0
(주)이노팩토리,서울특별시 서초구 마방로2길,11,650,102,722000,응용 소프트웨어 개발 및 공급업,28,10394080,1,1
(주)세송아이티,서울특별시 성동구 성수일로4길,11,200,115,722000,응용 소프트웨어 개발 및 공급업,102,24667500,2,1
（주）신비웹,서울특별시 영등포구 당산로,11,560,116,722000,응용 소프트웨어 개발 및 공급업,16,4800100,0,0
주식회사오토파트웨어,경기도 부천시 원미구 조마루로385번길,41,192,101,722000,응용 소프트웨어 개발 및 공급업,4,1935900,0,0
(주)토탈소프트뱅크,부산광역시 해운대구 반송로513번길,26,350,102,722000,응용 소프트웨어 개발 및 공급업,112,40647680,3,0
(주)크래프톤,서울특별시 강남구 테헤란로,11,680,101,722000,응용 소프트웨어 개발 및 공급업,1784,904988620,36,12
(주)오늘소프트,대전광역시 유성구 복용동로,30,200,116,722000,응용 소프트웨어 개발 및 공급업,24,6916060,1,0
주식회사건우씨엔에스,서울특별시 영등포구 양산로,11,560,113,722000,응용 소프트웨어 개발 및 공급업,7,1983400,1,0
(주)엠피엘에스,서울특별시 금천구 가산디지털2로,11,545,101,722000,응용 소프트웨어 개발 및 공급업,49,15714940,0,0
주식회사에이엠앤씨,경기도 김포시 태장로,41,570,104,722000,응용 소프트웨어 개발 및 공급업,10,2924140,0,0
(주)인터커머스코리아,서울특별시 금천구 가산디지털1로,11,545,101,722000,응용 소프트웨어 개발 및 공급업,17,4813480,2,0
마니아이티 주식회사,서울특별시 중구 통일로,11,140,169,722000,응용 소프트웨어 개발 및 공급업,3,962540,0,0
(주)한국보안인증,서울특별시 성동구 아차산로17길,11,200,115,722000,응용 소프트웨어 개발 및 공급업,15,4613280,0,0
（주）미디어솔루션,서울특별시 마포구 양화로,11,440,121,721000,컴퓨터 시스템 통합 자문 및 구축 서비스업,13,2733680,0,1
(주)엔지스시스템즈,경기도 안양시 동안구 벌말로,41,173,102,722000,응용 소프트웨어 개발 및 공급업,13,4422080,1,0
(주)지앤티솔루션,서울특별시 금천구 벚꽃로,11,545,101,722000,응용 소프트웨어 개발 및 공급업,21,6992140,0,0
한컴테크(주),부산광역시 사상구 낙동대로,26,530,105,722000,응용 소프트웨어 개발 및 공급업,16,4181780,1,0
주식회사 제니스클라우드,서울특별시 강남구 테헤란로16길,11,680,101,722000,응용 소프트웨어 개발 및 공급업,120,46325360,1,1
부산마케팅고등학교,부산광역시 부산진구 봉수로,26,230,102,722000,응용 소프트웨어 개발 및 공급업,28,9894800,0,0
(주)하이젠,서울특별시 서초구 강남대로27길,11,650,102,722000,응용 소프트웨어 개발 및 공급업,13,5106260,0,0
주식회사아이지에이웍스,서울특별시 용산구 서빙고로,11,170,128,722000,응용 소프트웨어 개발 및 공급업,156,58280740,3,2
(주)네오위즈,경기도 성남시 분당구 대왕판교로645번길,41,135,109,722000,응용 소프트웨어 개발 및 공급업,916,421330280,9,24
주식회사펜타크리드,서울특별시 강남구 논현로,11,680,101,722000,응용 소프트웨어 개발 및 공급업,57,15011580,0,0
(주)제이투유지콤,서울특별시 은평구 백련산로,11,380,107,722000,응용 소프트웨어 개발 및 공급업,6,1967740,0,0
엘투비솔루션(주),서울특별시 영등포구 선유로9길,11,560,124,722000,응용 소프트웨어 개발 및 공급업,12,3732460,0,0
(주)모엔시스,서울특별시 금천구 가산디지털1로,11,545,101,722000,응용 소프트웨어 개발 및 공급업,19,6668300,0,0
주식회사싸이웰시스템,서울특별시 강서구 양천로,11,500,104,721000,컴퓨터 시스템 통합 자문 및 구축 서비스업,53,19073960,0,2
(주)인투데이타시스템,서울특별시 구로구 디지털로,11,530,102,722000,응용 소프트웨어 개발 및 공급업,54,16310280,0,2
（주）닉스비젼,서울특별시 성동구 상원1길,11,200,114,722000,응용 소프트웨어 개발 및 공급업,4,1288140,0,0
(주)비젠아이,서울특별시 금천구 가산디지털1로,11,545,101,722000,응용 소프트웨어 개발 및 공급업,13,4186580,0,1
베스트엔위드(주),서울특별시 서초구 사임당로,11,650,108,722000,응용 소프트웨어 개발 및 공급업,3,785400,0,0
신영에스아이(주),서울특별시 용산구 효창원로,11,170,121,722000,응용 소프트웨어 개발 및 공급업,15,3832960,0,1
(주)웹어람정보,서울특별시 송파구 거마로20길,11,710,114,722000,응용 소프트웨어 개발 및 공급업,9,3270400,0,0
(주)메가뉴스,서울특별시 마포구 양화로,11,440,120,724000,데이터베이스 및 온라인 정보 제공업,51,20656720,1,0
(주)에쎈코퍼레이션,서울특별시 강남구 강남대로,11,680,101,722000,응용 소프트웨어 개발 및 공급업,10,3927200,0,0
오큐브주식회사,대구광역시 수성구 알파시티1로31길,27,260,127,722000,응용 소프트웨어 개발 및 공급업,83,34010620,0,2
(주)어댑티브,부산광역시 남구 자성로,26,290,109,722000,응용 소프트웨어 개발 및 공급업,31,9985580,0,0
주식회사 메타넷티플랫폼,서울특별시 종로구 종로33길,11,110,160,721000,컴퓨터 시스템 통합 자문 및 구축 서비스업,288,113320960,1,6
(주)조인아이티,경기도 안양시 동안구 안양판교로,41,173,102,722000,응용 소프트웨어 개발 및 공급업,4,390420,0,0
(주)티엠디교육그룹,서울특별시 서초구 서초중앙로8길,11,650,108,722000,응용 소프트웨어 개발 및 공급업,119,28211040,3,2
（주）흐름코퍼레이션,경상남도 창원시 의창구 원이대로240번길,48,121,124,722000,응용 소프트웨어 개발 및 공급업,9,2951260,0,1
포스트씨앤씨(주),경기도 구리시 체육관로171번길,41,310,104,724000,데이터베이스 및 온라인 정보 제공업,3,1150820,0,0
(주)메이저피스,서울특별시 구로구 디지털로,11,530,102,722000,응용 소프트웨어 개발 및 공급업,9,2691940,1,0
（주）매직시스템,경상남도 창원시 성산구 완암로,48,123,132,722000,응용 소프트웨어 개발 및 공급업,4,1137600,0,0
주식회사아이덴티티게임즈,서울특별시 중구 서애로,11,140,139,722000,응용 소프트웨어 개발 및 공급업,83,33600860,1,4
(주)생각연구소,서울특별시 성동구 상원길,11,200,114,722000,응용 소프트웨어 개발 및 공급업,12,4364880,2,0
주식회사위즈엑스퍼트,서울특별시 강남구 논현로120길,11,680,108,722000,응용 소프트웨어 개발 및 공급업,4,1192200,0,0
코아레스주식회사,서울특별시 광진구 광나루로56길,11,215,103,722000,응용 소프트웨어 개발 및 공급업,3,742120,0,0
에디넷(주),부산광역시 동구 중앙대로308번길,26,170,101,722000,응용 소프트웨어 개발 및 공급업,12,2703560,0,0
(주)인타운,부산광역시 해운대구 센텀6로,26,350,105,722000,응용 소프트웨어 개발 및 공급업,50,15570860,0,0
(주)플랜티엠,경기도 성남시 분당구 대왕판교로,41,135,109,722000,응용 소프트웨어 개발 및 공급업,55,20210980,5,3
피디에프솔루션세미컨덕터테크놀로지코리아(유）,경기도 성남시 분당구 판교로255번길,41,135,109,722000,응용 소프트웨어 개발 및 공급업,22,11202900,2,0
(주)솔빛시스템,서울특별시 송파구 법원로,11,710,108,722000,응용 소프트웨어 개발 및 공급업,33,14882580,1,1
(주)위메이드커넥트,경기도 성남시 분당구 황새울로360번길,41,135,105,722000,응용 소프트웨어 개발 및 공급업,103,40514720,11,3
(주)모그커뮤니케이션즈,서울특별시 강남구 도산대로15길,11,680,107,721000,컴퓨터 시스템 통합 자문 및 구축 서비스업,4,1711520,0,0
(주)엔써즈,서울특별시 중구 후암로,11,140,118,722000,응용 소프트웨어 개발 및 공급업,32,16008820,0,0
（주）데이터엔지니어스랩,서울특별시 서초구 방배로6길,11,650,101,722000,응용 소프트웨어 개발 및 공급업,20,6892260,0,0
주식회사이노크루,서울특별시 강서구 양천로,11,500,102,722000,응용 소프트웨어 개발 및 공급업,32,9563400,1,0
(주)아이티팝,서울특별시 금천구 벚꽃로,11,545,101,722000,응용 소프트웨어 개발 및 공급업,4,882260,0,0
을지대학교산학협력단,경기도 성남시 수정구 산성대로,41,131,106,729000,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,51,11061060,1,3
(주)유즈인터랙티브,서울특별시 영등포구 양평로22길,11,560,129,724000,데이터베이스 및 온라인 정보 제공업,18,5336420,0,1
유써클정보（주）,서울특별시 강남구 일원로,11,680,114,722000,응용 소프트웨어 개발 및 공급업,8,2881680,0,0
(주)직스테크놀로지,서울특별시 강남구 선릉로,11,680,104,722000,응용 소프트웨어 개발 및 공급업,23,8110800,2,1
(주)씽크에이티,서울특별시 구로구 디지털로,11,530,102,722000,응용 소프트웨어 개발 및 공급업,13,4441360,0,0
(주)지네트웍스,경기도 성남시 중원구 성남대로997번길,41,133,106,722000,응용 소프트웨어 개발 및 공급업,9,3487280,0,0
(주)엠엑스,대구광역시 달서구 송현로,27,290,124,722000,응용 소프트웨어 개발 및 공급업,11,2186440,1,2
